fraction_of_base,swept_value,concept_orders,B737Max8_orders,chosen_aircraft,total_profit,concept_penetration,weighted_casm,status
0.88,0.1056,34,0,Concept_A,155091569.9000001,1.0,0.10559999999999999,optimal
0.89,0.1068,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.9,0.108,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.91,0.1092,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.92,0.1104,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.93,0.1116,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.94,0.1128,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.95,0.114,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.96,0.1152,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.97,0.1164,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.98,0.1176,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.99,0.1188,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.0,0.12,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.1,0.132,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.2,0.144,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.3,0.156,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.4,0.168,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.5,0.18,0,34,B737Max8,147485091.5,0.0,0.12,optimal
