fraction_of_base,swept_value,concept_orders,B737Max8_orders,A320Neo_orders,chosen_aircraft,total_profit,concept_penetration,weighted_casm,status
0.5,0.06,34,0,0,Concept_A,819891751.4999998,1.0,0.06,optimal
0.6,0.072,34,0,0,Concept_A,684948019.4999999,1.0,0.072,optimal
0.7,0.084,34,0,0,Concept_A,550004287.4999996,1.0,0.084,optimal
0.8,0.096,34,0,0,Concept_A,415060555.4999995,1.0,0.096,optimal
0.9,0.108,34,0,0,Concept_A,280116823.49999976,1.0,0.108,optimal
1.0,0.12,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
1.1,0.132,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
1.2,0.144,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
1.3,0.156,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
1.4,0.168,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
1.5,0.18,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
